StepSize,1
Degree,Value,Timestamp
0.000,3.829000,1778027692.473
1.001,3.828000,1778027693.320
2.002,3.827000,1778027694.184
2.998,3.826000,1778027695.031
3.999,3.826000,1778027695.895
5.001,3.825000,1778027696.758
6.002,3.824000,1778027697.606
6.997,3.824000,1778027698.453
7.999,3.824000,1778027699.301
9.000,3.824000,1778027700.148
10.001,3.823000,1778027701.011
11.002,3.823000,1778027701.859
11.998,3.822000,1778027702.722
12.999,3.821000,1778027703.570
14.001,3.822000,1778027704.433
15.002,3.821000,1778027705.281
15.997,3.819000,1778027706.128
16.999,3.819000,1778027706.991
18.000,3.819000,1778027707.840
19.001,3.821000,1778027708.686
20.002,3.819000,1778027709.550
20.998,3.820000,1778027710.429
21.999,3.819000,1778027711.277
23.001,3.819000,1778027712.124
24.002,3.819000,1778027712.988
24.997,3.819000,1778027713.835
25.999,3.818000,1778027714.699
27.000,3.819000,1778027715.562
28.001,3.818000,1778027716.409
29.002,3.817000,1778027717.273
29.998,3.817000,1778027718.136
30.999,3.815000,1778027719.000
32.001,3.815000,1778027719.847
33.002,3.815000,1778027720.695
33.997,3.814000,1778027721.558
34.999,3.813000,1778027722.406
36.000,3.812000,1778027723.253
37.001,3.811000,1778027724.116
38.002,3.812000,1778027724.964
38.998,3.810000,1778027725.827
39.999,3.809000,1778027726.675
41.001,3.810000,1778027727.538
42.002,3.809000,1778027728.385
42.997,3.807000,1778027729.249
43.999,3.807000,1778027730.097
45.000,3.807000,1778027730.944
46.001,3.807000,1778027731.808
47.002,3.805000,1778027732.655
47.998,3.805000,1778027733.502
48.999,3.805000,1778027734.366
50.001,3.804000,1778027735.213
51.002,3.803000,1778027736.061
51.997,3.803000,1778027736.908
52.999,3.803000,1778027737.756
54.000,3.802000,1778027738.603
55.001,3.802000,1778027739.467
56.002,3.801000,1778027740.314
56.998,3.801000,1778027741.161
57.999,3.799000,1778027742.009
59.001,3.801000,1778027742.872
60.002,3.800000,1778027743.720
60.997,3.799000,1778027744.583
61.999,3.798000,1778027745.431
63.000,3.799000,1778027746.294
64.001,3.799000,1778027747.141
65.002,3.798000,1778027747.989
65.998,3.797000,1778027748.852
66.999,3.798000,1778027749.700
68.001,3.797000,1778027750.563
69.002,3.796000,1778027751.411
69.997,3.795000,1778027752.258
70.999,3.797000,1778027753.106
72.000,3.796000,1778027753.953
73.001,3.796000,1778027754.816
74.002,3.795000,1778027755.664
74.998,3.796000,1778027756.511
75.999,3.795000,1778027757.375
77.001,3.795000,1778027758.238
78.002,3.794000,1778027759.085
78.997,3.794000,1778027759.949
79.999,3.795000,1778027760.796
81.000,3.794000,1778027761.660
82.001,3.794000,1778027762.507
83.002,3.795000,1778027763.354
83.998,3.793000,1778027764.218
84.999,3.795000,1778027765.081
86.001,3.795000,1778027765.929
87.002,3.795000,1778027766.792
87.997,3.795000,1778027767.640
88.999,3.796000,1778027768.487
90.000,3.795000,1778027769.334
91.001,3.795000,1778027770.182
92.002,3.796000,1778027771.029
92.998,3.797000,1778027771.877
93.999,3.795000,1778027772.724
95.001,3.795000,1778027773.587
96.002,3.797000,1778027774.435
96.997,3.796000,1778027775.298
97.999,3.795000,1778027776.146
99.000,3.797000,1778027776.993
100.001,3.797000,1778027777.841
101.002,3.797000,1778027778.704
101.998,3.799000,1778027779.552
102.999,3.800000,1778027780.399
104.001,3.801000,1778027781.263
105.002,3.804000,1778027782.110
105.997,3.811000,1778027782.973
106.999,3.819000,1778027783.821
108.000,3.821000,1778027784.684
109.001,3.818000,1778027785.532
110.002,3.812000,1778027786.379
110.998,3.805000,1778027787.242
111.999,3.800000,1778027788.090
113.001,3.796000,1778027788.937
114.002,3.792000,1778027789.785
114.997,3.791000,1778027790.632
115.999,3.791000,1778027791.479
117.000,3.793000,1778027792.327
118.001,3.797000,1778027793.174
119.002,3.802000,1778027794.038
119.998,3.807000,1778027794.885
120.999,3.811000,1778027795.733
122.001,3.813000,1778027796.580
123.002,3.811000,1778027797.444
123.997,3.807000,1778027798.291
124.999,3.805000,1778027799.138
126.000,3.805000,1778027800.002
127.001,3.805000,1778027800.849
128.002,3.805000,1778027801.697
128.998,3.805000,1778027802.544
129.999,3.806000,1778027803.408
131.001,3.806000,1778027804.255
132.002,3.807000,1778027805.118
132.997,3.808000,1778027805.966
133.999,3.809000,1778027806.813
135.000,3.808000,1778027807.677
136.001,3.808000,1778027808.524
137.002,3.810000,1778027809.387
137.998,3.810000,1778027810.235
138.999,3.809000,1778027811.082
140.001,3.810000,1778027811.946
141.002,3.812000,1778027812.793
141.997,3.811000,1778027813.657
142.999,3.811000,1778027814.504
144.000,3.812000,1778027815.351
145.001,3.813000,1778027816.199
146.002,3.813000,1778027817.062
146.998,3.813000,1778027817.910
147.999,3.814000,1778027818.757
149.001,3.814000,1778027819.605
150.002,3.814000,1778027820.468
150.997,3.813000,1778027821.331
151.999,3.816000,1778027822.179
153.000,3.816000,1778027823.026
154.001,3.817000,1778027823.874
155.002,3.816000,1778027824.721
155.998,3.818000,1778027825.585
156.999,3.819000,1778027826.432
158.001,3.820000,1778027827.296
159.002,3.820000,1778027828.143
159.997,3.821000,1778027828.990
160.999,3.821000,1778027829.838
162.000,3.821000,1778027830.685
163.001,3.823000,1778027831.548
164.002,3.822000,1778027832.396
164.998,3.823000,1778027833.259
165.999,3.824000,1778027834.107
167.001,3.825000,1778027834.970
168.002,3.824000,1778027835.818
168.997,3.824000,1778027836.665
169.999,3.825000,1778027837.528
171.000,3.825000,1778027838.376
172.001,3.826000,1778027839.224
173.002,3.828000,1778027840.071
173.998,3.827000,1778027840.918
174.999,3.829000,1778027841.782
176.001,3.829000,1778027842.629
177.002,3.829000,1778027843.477
177.997,3.830000,1778027844.324
178.999,3.830000,1778027845.172
180.000,3.831000,1778027846.035
181.001,3.832000,1778027846.883
182.002,3.834000,1778027847.730
182.998,3.833000,1778027848.578
183.999,3.833000,1778027849.425
185.001,3.836000,1778027850.272
186.002,3.835000,1778027851.136
186.997,3.835000,1778027851.983
187.999,3.835000,1778027852.830
189.000,3.836000,1778027853.678
190.001,3.837000,1778027854.541
191.002,3.837000,1778027855.389
191.998,3.838000,1778027856.236
192.999,3.839000,1778027857.084
194.001,3.839000,1778027857.931
195.002,3.840000,1778027858.779
195.997,3.840000,1778027859.642
196.999,3.841000,1778027860.490
198.000,3.841000,1778027861.353
199.001,3.842000,1778027862.200
200.002,3.843000,1778027863.048
200.998,3.844000,1778027863.895
201.999,3.844000,1778027864.743
203.001,3.846000,1778027865.590
204.002,3.846000,1778027866.438
204.997,3.847000,1778027867.301
205.999,3.847000,1778027868.148
207.000,3.847000,1778027868.996
208.001,3.848000,1778027869.859
209.002,3.848000,1778027870.707
209.998,3.848000,1778027871.570
210.999,3.850000,1778027872.417
212.001,3.850000,1778027873.265
213.002,3.850000,1778027874.128
213.997,3.850000,1778027874.992
214.999,3.850000,1778027875.839
216.000,3.851000,1778027876.687
217.001,3.851000,1778027877.534
218.002,3.850000,1778027878.381
218.998,3.850000,1778027879.245
219.999,3.851000,1778027880.092
221.001,3.851000,1778027880.940
222.002,3.851000,1778027881.803
222.997,3.851000,1778027882.650
223.999,3.851000,1778027883.514
225.000,3.852000,1778027884.377
226.001,3.851000,1778027885.225
227.002,3.852000,1778027886.088
227.998,3.853000,1778027886.936
228.999,3.853000,1778027887.783
230.001,3.853000,1778027888.630
231.002,3.854000,1778027889.494
231.997,3.854000,1778027890.357
232.999,3.854000,1778027891.205
234.000,3.855000,1778027892.068
235.001,3.857000,1778027892.916
236.002,3.855000,1778027893.779
236.998,3.855000,1778027894.626
237.999,3.856000,1778027895.490
239.001,3.856000,1778027896.353
240.002,3.857000,1778027897.201
240.997,3.856000,1778027898.048
241.999,3.857000,1778027898.912
243.000,3.858000,1778027899.759
244.001,3.858000,1778027900.622
245.002,3.858000,1778027901.470
245.998,3.857000,1778027902.317
246.999,3.858000,1778027903.165
248.001,3.858000,1778027904.012
249.002,3.859000,1778027904.859
249.997,3.858000,1778027905.707
250.999,3.858000,1778027906.554
252.000,3.859000,1778027907.418
253.001,3.858000,1778027908.281
254.002,3.858000,1778027909.129
254.998,3.859000,1778027909.992
255.999,3.859000,1778027910.839
257.001,3.859000,1778027911.687
258.002,3.860000,1778027912.550
258.997,3.860000,1778027913.398
259.999,3.859000,1778027914.261
261.000,3.860000,1778027915.108
262.001,3.861000,1778027915.956
263.002,3.860000,1778027916.803
263.998,3.859000,1778027917.651
264.999,3.860000,1778027918.514
266.001,3.860000,1778027919.362
267.002,3.860000,1778027920.225
267.997,3.859000,1778027921.073
268.999,3.859000,1778027921.920
270.000,3.859000,1778027922.783
271.001,3.860000,1778027923.631
272.002,3.859000,1778027924.494
272.998,3.859000,1778027925.342
273.999,3.859000,1778027926.189
275.001,3.859000,1778027927.052
276.002,3.859000,1778027927.900
276.997,3.859000,1778027928.763
277.999,3.859000,1778027929.611
279.000,3.860000,1778027930.458
280.001,3.860000,1778027931.306
281.002,3.860000,1778027932.169
281.998,3.860000,1778027933.017
282.999,3.861000,1778027933.864
284.001,3.862000,1778027934.727
285.002,3.861000,1778027935.575
285.997,3.862000,1778027936.422
286.999,3.862000,1778027937.270
288.000,3.861000,1778027938.117
289.001,3.862000,1778027938.964
290.002,3.862000,1778027939.828
290.998,3.861000,1778027940.675
291.999,3.862000,1778027941.523
293.001,3.862000,1778027942.370
294.002,3.862000,1778027943.218
294.997,3.863000,1778027944.065
295.999,3.862000,1778027944.913
297.000,3.862000,1778027945.776
298.001,3.861000,1778027946.624
299.002,3.861000,1778027947.471
299.998,3.861000,1778027948.318
300.999,3.860000,1778027949.166
302.001,3.860000,1778027950.013
303.002,3.861000,1778027950.877
303.997,3.860000,1778027951.724
304.999,3.858000,1778027952.571
306.000,3.858000,1778027953.419
307.001,3.859000,1778027954.266
308.002,3.858000,1778027955.130
308.998,3.855000,1778027955.977
309.999,3.855000,1778027956.841
311.001,3.855000,1778027957.688
312.002,3.855000,1778027958.552
312.997,3.852000,1778027959.415
313.999,3.852000,1778027960.262
315.000,3.852000,1778027961.126
316.001,3.851000,1778027961.989
317.002,3.850000,1778027962.837
317.998,3.849000,1778027963.700
318.999,3.849000,1778027964.547
320.001,3.850000,1778027965.411
321.002,3.849000,1778027966.274
321.997,3.847000,1778027967.122
322.999,3.847000,1778027967.985
324.000,3.846000,1778027968.833
325.001,3.846000,1778027969.680
326.002,3.846000,1778027970.528
326.998,3.845000,1778027971.391
327.999,3.844000,1778027972.238
329.001,3.845000,1778027973.086
330.002,3.844000,1778027973.949
330.997,3.844000,1778027974.813
331.999,3.843000,1778027975.676
333.000,3.842000,1778027976.523
334.001,3.842000,1778027977.371
335.002,3.842000,1778027978.234
335.998,3.842000,1778027979.082
336.999,3.840000,1778027979.929
338.001,3.841000,1778027980.777
339.002,3.841000,1778027981.640
339.997,3.839000,1778027982.487
340.999,3.838000,1778027983.335
342.000,3.839000,1778027984.182
343.001,3.839000,1778027985.046
344.002,3.837000,1778027985.893
344.998,3.837000,1778027986.757
345.999,3.836000,1778027987.604
347.001,3.835000,1778027988.467
348.002,3.835000,1778027989.315
348.997,3.833000,1778027990.162
349.999,3.834000,1778027991.026
351.000,3.833000,1778027991.889
352.001,3.833000,1778027992.737
353.002,3.832000,1778027993.600
353.998,3.831000,1778027994.447
354.999,3.831000,1778027995.311
356.001,3.831000,1778027996.158
357.002,3.831000,1778027997.022
357.997,3.830000,1778027997.869
358.999,3.830000,1778027998.733
